12b-1 fees
fechas ex-dividendo
fee waiver
filing and registration fees
fill-or-kill order
financial accounting standards board (fasb)
financial industry regulatory authority (finra)
financial planners
financial product
fixed annuity
fixed-rate bond
floating-rate bond (or variable or adjustable rate bond)
floor
foreign corrupt practices act (fcpa)
foreign currency exchange (forex)
foreign exchange markets
form 10-k
form 10-q
form 1099, investment income (interest and dividends)
form 144
form 8-k
form adv
form crs
form d
forms 3, 4 and 5
formulario 10-k
formulario 10-q
formulario adv
fraudster
free look period
freeriding
freeze, brokerage account
front-end sales load
fund family
fund of funds
future value
futures contract
futures market
general obligation bond
generally accepted accounting principles (gaap)
going private
good-til-cancelled order
greenwashing
hedge funds
high-yield bond (or junk bond)
high-yield investment programs
holding your securities
holiday schedules and trading hours for the national securities exchanges
householding rules
immediate annuity
immediate-or-cancel order
impersonators
index fund
indexed annuities
individual retirement account (ira)
information about some companies not available from the sec
information available to investment company shareholders
informe anual (10k)
initial public offering (ipo)
initial public offerings, why individuals have difficulty getting shares
initial public offerings: eligibility to get shares at broker-dealers
initial public offerings: lockup agreements
insider trading
interest
internet fraud
interval fund
invest
investigations
investment adviser
investment adviser public disclosure (iapd)
investment adviser registration depository (iard)
investment company
investment-grade bond (or high-grade bond)
investor complaints
issuer
large cap, mid cap, small cap
late payment of interest on bonds
leveraged loan
liability/debt
libor
lifecycle funds
limit orders
liquidity (or marketability)
listing standards
load
longevity annuity
lost and stolen securities program
lost or stolen stock certificates
lump sum payment
maintenance fee
management fee
margin account
margin call
market capitalization
market index
market indices
market makers
market manipulation
market order
market volatility procedures and circuit breakers
markups and markdowns
medallion signature guarantees: preventing the unauthorized transfer of securities
mediation and arbitration
mergers
microcap stock
mini-tender offers
money market fund
money markets
mortgage-backed securities and collateralized mortgage obligations
mutual fund and etf fees and expenses
mutual fund classes
mutual fund prospectus
mutual fund redemptions
mutual funds
mutual funds, past performance
national securities exchange
nationally recognized municipal securities information repositories (nrmsirs)
net asset value
net income
no action letters
no-expense or zero-expense funds
no-load mutual fund
offering document (or official statement or prospectus)
old stock and bond certificates
online trading
open-end investment company
operating expenses
options
order types
over-the-counter (otc) securities
passive fund or passively managed fund
pattern day trader
pause program (public alert: unregistered soliciting entities)
pension
pipe offerings
ponzi schemes
portfolio
premium
prepaid tuition plans
prepayment
prepayment risk
price-earnings (p/e) ratio
primary market
prime bank investments
principal
product description
profit
promissory notes
prospectus
proving securities ownership
proxy statements
proxy statements: how to find
proxy voting
public company
public company accounting oversight board (pcaob)
public documents
pump and dump schemes
purchase fee
purchasing power
pyramid schemes
qualified higher education expenses
qualified longevity annuity contract (qlac)
quarterly reports (10q)
quiet period
real estate investment trust (reit)
real return
rebalancing
recovering funds
redemption fee
registered index-linked annuity (rila)
registered market value adjustment (mva) annuity
registered owner
registration statement
registration under the securities act of 1933
regulation a
regulation crowdfunding
regulation d offerings
relationship summary
restricted securities
revenue
revenue bond
reverse stock splits
risk
risk tolerance
robo-adviser
roth 401(k) plan
rule 504 of regulation d
rule 506 of regulation d
rulemaking
sales charge or sales load
saving and investing apps
savings
savings bond calculator
savings bonds
say-on-pay vote
schedules 13d and 13g
secondary market
section 1035
securities act rule 144
securities analyst recommendations
securities investor protection corporation (sipc)
securities lending
security
senior bond
settling securities transactions, t+2
share classes
shareholder fees
shareholder lists, when you can get them
shareholder service fees
short sale volume and transaction data
short sales
single-stock etfs
social security retirement planner
sofr
sources of municipal securities information
spacs
spin-offs
standard & poor's depositary receipts (spdr) trust
state regulators
state securities regulators
statement of additional information (sai)
stock
stock fund
stock market
stock market circuit breakers
stock quotes
stock split
stop order
surrender charge
target date fund
tax questions
tender offer
threshold securities
ticker
time horizon
total annual fund operating expenses
trading halts and delays
transfer agents
transferring assets
transferring your brokerage account
treasury securities
trusted contact
trustee
ultra-short bond funds
unit investment trusts (uits)
variable annuities
variable annuities - free look period
variable life insurance
variable-rate cds
viatical settlements
wash sales
wrap account
yield
yield curve
zero coupon bond
