a few
saturday
saw
say
scarf
schedule
school
schoolbag
science
scientist
scotland
sea
season
second
second floor
secretary
see
see a doctor
see a film
send
september
seven
seventeen
shadow
shall
share
she
sheep
ship
shirt
shoe
shop
short
shorter
shorts
should
show
shy
sing
sing english songs
singapore
sir
sister
sit
six
sixteen
size
skirt
sled
sleep
sleeping
slept
slow
slow down
small
smaller
smarter
snow
snowman
snowy
so
so much
sock
sofa
some
sometimes
song
sorry
sound
soup
space
spain
spanish
speak
speak english
special
spoon
sport
sports meet
spring
stand
star
start
stay
stayed
still
stop
story
storybook
straight
strawberry
street
strict
strong
stronger
stuck
student
studies
study
subject
subway
summer
sun
sunday
sunglasses
sunny
supermarket
sure
sushi
sweater
sweet
swim
sydney
table
tail
take
take a dancing class
take a deep breath
take a trip
take turns
talk
talk quietly
tall
taller
taxi
tea
teach
teacher
teacher's desk
teacher's office
tell
ten
than
thank
thanksgiving
that
the
the great wall
their
theirs
them
then
there
these
they
thin
thing
think
thinner
third
thirsty
thirteen
thirtieth
thirty
this
those
thought
three
thursday
tiger
till
time
tired
to
today
together
toilet
tomato
tomorrow
tonight
too
took
took pictures
toy
traffic
traffic lights
train
travel
tree
trip
trousers
try
try on
tuesday
turn
turpan
tv
twelfth
twelve
twentieth
twenty
twenty-first
twenty-third
two
type
uk
umbrella
uncle
under
university
up
us
usa
use
usually
vacation
vegetable
very
village
visit
wait
walk
wall
want
warm
wash
wash my clothes
washed
watch
watch tv
watched
water
water bottle
watermelon
way
we
we'll
wear
wear.
weather
wednesday
week
weekend
welcome
well
went
went camping
went fishing
what
when
where
which
white
who
whose
why
will
win
window
windy
winter
with
woke
woman
women
wonderful
word
word book
work
worker
world
worried
worry
wow
write
wrong
year
yellow
yes
yesterday
you
young
younger
your
yours
yum
zoo
